itr,time,loss,geodesic,theta,phi,gamma,bx,by,bz
0,0.0071894507855176926,6730732032.0,204.587890625,3.622011661529541,0.9201457500457764,1.4743316173553467,171.15711975097656,179.63540649414062,173.2325897216797
1,0.029225459322333336,6168500224.0,197.74168395996094,3.572011709213257,0.8701457381248474,1.4243316650390625,166.15711975097656,184.63540649414062,168.2325897216797
2,0.01972249709069729,5900579840.0,191.48898315429688,3.5219807624816895,0.8205987215042114,1.3949977159500122,162.21075439453125,188.82249450683594,163.28892517089844
3,0.018977699801325798,5669102592.0,191.48667907714844,3.513463020324707,0.7832548022270203,1.3602187633514404,161.17498779296875,193.3167724609375,159.05409240722656
4,0.01712106727063656,5430002688.0,184.9453125,3.491520643234253,0.7484597563743591,1.3554893732070923,162.5216827392578,193.70013427734375,154.71148681640625
5,0.019074728712439537,4989593600.0,177.9391326904297,3.477935791015625,0.7136992812156677,1.3637784719467163,164.81045532226562,192.26904296875,150.52442932128906
6,0.018528683111071587,4368553984.0,171.8776397705078,3.469371795654297,0.6740174889564514,1.357379674911499,167.82127380371094,189.9072723388672,146.6242218017578
7,0.018354853615164757,3976857344.0,165.256103515625,3.465637445449829,0.6331213712692261,1.3667985200881958,170.7417755126953,187.1068878173828,144.09681701660156
8,0.016893770545721054,3566694656.0,156.40040588378906,3.4585165977478027,0.5915085673332214,1.3873016834259033,173.75369262695312,184.66519165039062,143.6358642578125
9,0.01667935587465763,3130898432.0,146.79559326171875,3.4512014389038086,0.5480438470840454,1.4140632152557373,176.7549591064453,181.74533081054688,143.97471618652344
10,0.023269888013601303,2703309824.0,136.1876220703125,3.442652702331543,0.5023974180221558,1.4480361938476562,179.5320281982422,179.16729736328125,145.38107299804688
11,0.02301907353103161,2434332672.0,127.0057373046875,3.433260917663574,0.4554094076156616,1.473555326461792,182.07057189941406,177.05126953125,146.1936492919922
12,0.018420234322547913,2210100480.0,117.85382843017578,3.4254961013793945,0.4074386656284332,1.5005812644958496,183.66429138183594,176.0474090576172,147.30355834960938
13,0.01773575320839882,1950520576.0,108.70282745361328,3.4184083938598633,0.35886749625205994,1.5295684337615967,184.14041137695312,175.34954833984375,148.4209747314453
14,0.017145302146673203,1634258048.0,99.34500122070312,3.4092698097229004,0.31012463569641113,1.5560358762741089,183.81446838378906,175.2458953857422,149.37722778320312
15,0.017076941207051277,1332704000.0,90.10122680664062,3.3993992805480957,0.261381596326828,1.5736000537872314,182.98167419433594,175.50274658203125,150.18991088867188
16,0.017377015203237534,1077547392.0,81.23435974121094,3.391575336456299,0.21366332471370697,1.5834113359451294,181.67698669433594,176.13470458984375,151.0924072265625
17,0.018624644726514816,848039552.0,72.86997985839844,3.3851518630981445,0.1671043187379837,1.5933724641799927,180.0934295654297,176.58531188964844,152.04229736328125
18,0.01904185675084591,717646272.0,64.10807800292969,3.374194383621216,0.12238185852766037,1.6047149896621704,178.4793243408203,176.88677978515625,153.20765686035156
19,0.017143715173006058,638794944.0,54.962684631347656,3.3574681282043457,0.08083976060152054,1.609812617301941,177.01870727539062,177.0131072998047,154.65985107421875
20,0.017354028299450874,600930752.0,45.77679443359375,3.336827516555786,0.042818691581487656,1.6130363941192627,175.82688903808594,176.79104614257812,156.3610382080078
21,0.022377217188477516,532746368.0,36.36760711669922,3.3105406761169434,0.008165307343006134,1.6180140972137451,175.10809326171875,175.8448944091797,158.2182159423828
22,0.018623070791363716,524511392.0,27.116199493408203,3.2809088230133057,-0.02211415395140648,1.6191893815994263,174.89242553710938,174.91470336914062,160.31216430664062
23,0.01923362910747528,494730304.0,18.978973388671875,3.2514779567718506,-0.0467267744243145,1.6129517555236816,175.17514038085938,174.58448791503906,162.5226593017578
24,0.019654978066682816,424488928.0,13.707075119018555,3.2217490673065186,-0.0659279078245163,1.6009273529052734,175.98049926757812,174.7657928466797,164.81407165527344
25,0.017016276717185974,393289760.0,13.978734970092773,3.1951382160186768,-0.07932257652282715,1.5862714052200317,177.18524169921875,175.64187622070312,167.11231994628906
26,0.0175158753991127,330397344.0,16.124462127685547,3.1731154918670654,-0.0865853875875473,1.5741580724716187,178.58804321289062,177.22254943847656,169.26495361328125
27,0.017643023282289505,293197152.0,19.449966430664062,3.1556873321533203,-0.08967749029397964,1.563297986984253,180.02818298339844,179.36801147460938,171.2738494873047
28,0.017107920721173286,316162144.0,22.76436996459961,3.1421279907226562,-0.08854105323553085,1.5574308633804321,181.4265899658203,181.64122009277344,173.00927734375
29,0.019539285451173782,363932448.0,25.06468963623047,3.131207227706909,-0.08426539599895477,1.5575164556503296,182.63323974609375,183.4636993408203,174.46849060058594
30,0.019205212593078613,396864544.0,26.21703338623047,3.121314287185669,-0.07732123136520386,1.562753677368164,183.5507049560547,184.66195678710938,175.69175720214844
31,0.02480042725801468,401010944.0,26.58680534362793,3.1113193035125732,-0.06894591450691223,1.5730458498001099,184.10882568359375,185.0775909423828,176.61669921875
32,0.01884292997419834,361705536.0,26.7512149810791,3.101278066635132,-0.05974075570702553,1.5863213539123535,184.28567504882812,184.63597106933594,177.16476440429688
33,0.017261438071727753,321731680.0,27.097721099853516,3.092344045639038,-0.050323713570833206,1.6006073951721191,184.041015625,183.71717834472656,177.29489135742188
34,0.01765105128288269,304569600.0,27.501426696777344,3.0850989818573,-0.040800806134939194,1.6129511594772339,183.47557067871094,182.7471923828125,177.01925659179688
35,0.019313791766762733,295397824.0,27.491619110107422,3.0785248279571533,-0.03285583481192589,1.6184381246566772,182.62606811523438,182.14312744140625,176.32162475585938
36,0.017417818307876587,264893568.0,26.123737335205078,3.0757815837860107,-0.026075569912791252,1.6170789003372192,181.64134216308594,181.7767791748047,175.25924682617188
37,0.01716827042400837,220230256.0,23.789066314697266,3.076355218887329,-0.02068083919584751,1.611425518989563,180.70127868652344,181.55360412597656,174.0097198486328
38,0.016981719061732292,161363696.0,19.9478816986084,3.0816423892974854,-0.01631118357181549,1.5991863012313843,179.91024780273438,181.38522338867188,172.5313262939453
39,0.02369609661400318,97828872.0,15.07632064819336,3.091439723968506,-0.012718717567622662,1.5830259323120117,179.3360595703125,181.27886962890625,170.89413452148438
40,0.01955055631697178,61998584.0,10.245863914489746,3.103010416030884,-0.009202603250741959,1.5688241720199585,179.02139282226562,180.96652221679688,169.1258544921875
41,0.02526186779141426,46232316.0,5.8379669189453125,3.1164653301239014,-0.004911200609058142,1.5571852922439575,179.00144958496094,180.5747833251953,167.31890869140625
42,0.019255120307207108,42344332.0,3.607675552368164,3.130791664123535,0.0005341372452676296,1.5516748428344727,179.20364379882812,180.12315368652344,165.67803955078125
43,0.016859764233231544,37064180.0,5.0955352783203125,3.1448934078216553,0.0067122336477041245,1.5527949333190918,179.5240936279297,179.65054321289062,164.26544189453125
44,0.017430691048502922,37999928.0,7.817367076873779,3.1578099727630615,0.012952116318047047,1.5597171783447266,179.84475708007812,179.2301788330078,163.16012573242188
45,0.017186613753437996,59031244.0,10.47403335571289,3.168430805206299,0.01828097179532051,1.5681240558624268,180.0614776611328,178.88204956054688,162.4232940673828
46,0.017151517793536186,83030840.0,12.463184356689453,3.1764461994171143,0.02192595973610878,1.574554443359375,180.12957763671875,178.61123657226562,162.0610809326172
47,0.01959630288183689,93592968.0,13.476456642150879,3.1812455654144287,0.02378392592072487,1.5780659914016724,180.0384063720703,178.47308349609375,162.02072143554688
48,0.01679064892232418,87434944.0,13.650575637817383,3.183915853500366,0.02406422048807144,1.5768014192581177,179.8031005859375,178.49807739257812,162.2926025390625
49,0.01755230501294136,71597880.0,13.142206192016602,3.1840882301330566,0.02301104925572872,1.572412133216858,179.48196411132812,178.61724853515625,162.7801971435547
50,0.018007298931479454,54931820.0,11.955771446228027,3.1809749603271484,0.020500261336565018,1.5665735006332397,179.13156127929688,178.81356811523438,163.42527770996094
51,0.023841971531510353,42292192.0,10.053752899169922,3.173865795135498,0.01682596653699875,1.561317801475525,178.86370849609375,178.96688842773438,164.21554565429688
52,0.019748633727431297,32280106.0,7.636218070983887,3.163708209991455,0.01243172213435173,1.5581426620483398,178.77734375,179.0386199951172,165.05081176757812
53,0.01934376172721386,22861542.0,4.5984930992126465,3.150662660598755,0.007298748474568129,1.5588735342025757,178.89862060546875,179.05364990234375,166.013916015625
54,0.01795852743089199,14809652.0,1.9363958835601807,3.1383087635040283,0.0028611156158149242,1.5635490417480469,179.19744873046875,179.27239990234375,166.87930297851562
55,0.019986001774668694,13471822.0,3.5950989723205566,3.128270149230957,-0.00068173639010638,1.5702025890350342,179.59925842285156,179.75201416015625,167.573486328125
56,0.01763836480677128,17937028.0,5.949165344238281,3.121145725250244,-0.003653579857200384,1.5763423442840576,180.03033447265625,180.40977478027344,168.05543518066406
57,0.01715110056102276,25645144.0,7.6092400550842285,3.1174674034118652,-0.0064826905727386475,1.5798195600509644,180.4408416748047,181.10020446777344,168.3308868408203
58,0.017536243423819542,34408528.0,8.56511116027832,3.1159095764160156,-0.009444806724786758,1.5806446075439453,180.80784606933594,181.6028289794922,168.40264892578125
59,0.01953616738319397,36502504.0,8.688037872314453,3.11631178855896,-0.01219680905342102,1.5793788433074951,181.06336975097656,181.67526245117188,168.29530334472656
60,0.017612503841519356,30862468.0,8.12739372253418,3.1176884174346924,-0.014132002368569374,1.5759570598602295,181.1398162841797,181.30006408691406,168.07022094726562
61,0.023729387670755386,26508576.0,7.112204074859619,3.1205360889434814,-0.014846056699752808,1.5735069513320923,181.0142364501953,180.75335693359375,167.73611450195312
62,0.019310537725687027,20457404.0,5.654544830322266,3.1253409385681152,-0.013999287970364094,1.572689175605774,180.70343017578125,180.33953857421875,167.3508758544922
63,0.016975102946162224,10576585.0,3.7696967124938965,3.131979465484619,-0.01155365351587534,1.5737370252609253,180.271484375,180.1648406982422,166.9409942626953
64,0.01685621216893196,5631649.5,1.7405409812927246,3.1397688388824463,-0.007871112786233425,1.5753799676895142,179.8385772705078,180.16070556640625,166.51461791992188
65,0.01900562457740307,7123485.5,0.7515398263931274,3.146979808807373,-0.00366204883903265,1.575143575668335,179.5428924560547,180.15057373046875,166.10525512695312
