group,original_idx,structure,id
organs,1,spleen,1
organs,2,kidney_right,2
organs,3,kidney_left,3
organs,4,gallbladder,4
organs,5,liver,5
organs,6,stomach,6
organs,7,pancreas,7
organs,8,adrenal_gland_right,8
organs,9,adrenal_gland_left,9
organs,10,lung_upper_lobe_left,10
organs,11,lung_lower_lobe_left,11
organs,12,lung_upper_lobe_right,12
organs,13,lung_middle_lobe_right,13
organs,14,lung_lower_lobe_right,14
organs,15,esophagus,15
organs,16,trachea,16
organs,17,thyroid_gland,17
organs,18,small_bowel,18
organs,19,duodenum,19
organs,20,colon,20
organs,21,urinary_bladder,21
organs,22,prostate,22
organs,23,kidney_cyst_left,23
organs,24,kidney_cyst_right,24
vertebrae,1,sacrum,25
vertebrae,2,vertebrae_S1,26
vertebrae,3,vertebrae_L5,27
vertebrae,4,vertebrae_L4,28
vertebrae,5,vertebrae_L3,29
vertebrae,6,vertebrae_L2,30
vertebrae,7,vertebrae_L1,31
vertebrae,8,vertebrae_T12,32
vertebrae,9,vertebrae_T11,33
vertebrae,10,vertebrae_T10,34
vertebrae,11,vertebrae_T9,35
vertebrae,12,vertebrae_T8,36
vertebrae,13,vertebrae_T7,37
vertebrae,14,vertebrae_T6,38
vertebrae,15,vertebrae_T5,39
vertebrae,16,vertebrae_T4,40
vertebrae,17,vertebrae_T3,41
vertebrae,18,vertebrae_T2,42
vertebrae,19,vertebrae_T1,43
vertebrae,20,vertebrae_C7,44
vertebrae,21,vertebrae_C6,45
vertebrae,22,vertebrae_C5,46
vertebrae,23,vertebrae_C4,47
vertebrae,24,vertebrae_C3,48
vertebrae,25,vertebrae_C2,49
vertebrae,26,vertebrae_C1,50
cardiac,1,heart,51
cardiac,2,aorta,52
cardiac,3,pulmonary_vein,53
cardiac,4,brachiocephalic_trunk,54
cardiac,5,subclavian_artery_right,55
cardiac,6,subclavian_artery_left,56
cardiac,7,common_carotid_artery_right,57
cardiac,8,common_carotid_artery_left,58
cardiac,9,brachiocephalic_vein_left,59
cardiac,10,brachiocephalic_vein_right,60
cardiac,11,atrial_appendage_left,61
cardiac,12,superior_vena_cava,62
cardiac,13,inferior_vena_cava,63
cardiac,14,portal_vein_and_splenic_vein,64
cardiac,15,iliac_artery_left,65
cardiac,16,iliac_artery_right,66
cardiac,17,iliac_vena_left,67
cardiac,18,iliac_vena_right,68
skeleton,1,humerus_left,69
skeleton,2,humerus_right,70
skeleton,3,scapula_left,71
skeleton,4,scapula_right,72
skeleton,5,clavicula_left,73
skeleton,6,clavicula_right,74
skeleton,7,femur_left,75
skeleton,8,femur_right,76
skeleton,9,hip_left,77
skeleton,10,hip_right,78
muscles,11,spinal_cord,79
muscles,12,gluteus_maximus_left,80
muscles,13,gluteus_maximus_right,81
muscles,14,gluteus_medius_left,82
muscles,15,gluteus_medius_right,83
muscles,16,gluteus_minimus_left,84
muscles,17,gluteus_minimus_right,85
muscles,18,autochthon_left,86
muscles,19,autochthon_right,87
muscles,20,iliopsoas_left,88
muscles,21,iliopsoas_right,89
muscles,22,brain,90
skeleton,23,skull,91
ribs,1,rib_left_1,92
ribs,2,rib_left_2,93
ribs,3,rib_left_3,94
ribs,4,rib_left_4,95
ribs,5,rib_left_5,96
ribs,6,rib_left_6,97
ribs,7,rib_left_7,98
ribs,8,rib_left_8,99
ribs,9,rib_left_9,100
ribs,10,rib_left_10,101
ribs,11,rib_left_11,102
ribs,12,rib_left_12,103
ribs,13,rib_right_1,104
ribs,14,rib_right_2,105
ribs,15,rib_right_3,106
ribs,16,rib_right_4,107
ribs,17,rib_right_5,108
ribs,18,rib_right_6,109
ribs,19,rib_right_7,110
ribs,20,rib_right_8,111
ribs,21,rib_right_9,112
ribs,22,rib_right_10,113
ribs,23,rib_right_11,114
ribs,24,rib_right_12,115
ribs,25,sternum,116
test,1,carpal,117
ribs,26,costal_cartilages,118